Date,Price,Open,High,Low,Change %
1988-01-01,90.34,85.67,90.81,85.33,5.76
1988-02-01,90.53,90.88,92.04,90.3,0.21
1988-03-01,88.3,90.55,90.96,88.16,-2.46
1988-04-01,89.16,88.33,90.12,87.87,0.97
1988-05-01,91.09,89.3,91.12,88.94,2.16
1988-06-01,95.41,90.86,96.09,90.49,4.74
1988-07-01,97.53,95.94,98.6,95.07,2.22
1988-08-01,98.42,97.42,99.61,96.86,0.91
1988-09-01,97.69,98.55,98.83,96.83,-0.74
1988-10-01,93.76,97.65,97.65,92.82,-4.02
1988-11-01,90.53,93.69,93.96,90.05,-3.44
1988-12-01,92.5,90.5,93.66,90.04,2.18
1989-01-01,96.77,92.6,96.84,91.77,4.62
1989-02-01,94.9,96.68,97.17,94.39,-1.93
1989-03-01,98.14,95.64,98.53,95.57,3.41
1989-04-01,97.71,98.01,98.04,96.11,-0.44
1989-05-01,102.98,98.06,104.28,97.89,5.39
1989-06-01,102.02,103.08,106.56,100.66,-0.93
1989-07-01,97.39,101.21,101.24,97.29,-4.54
1989-08-01,102.28,97.46,102.46,96.76,5.02
1989-09-01,98.47,102.43,104.19,98.06,-3.73
1989-10-01,98.07,98.68,101.31,97.49,-0.41
1989-11-01,96.27,98.16,99.06,96.13,-1.84
1989-12-01,93.21,96.52,96.65,92.6,-3.18
1990-01-01,92.41,93.19,94.54,91.89,-0.86
1990-02-01,93.29,92.32,93.45,91.26,0.95
1990-03-01,93.69,93.67,94.72,93.23,0.43
1990-04-01,93.07,94.28,94.32,92.71,-0.66
1990-05-01,92.98,93.23,93.3,90.66,-0.1
1990-06-01,91.15,92.86,93.36,91.13,-1.97
1990-07-01,87.17,90.75,90.85,87.14,-4.37
1990-08-01,86.56,87.4,89.08,84.9,-0.7
1990-09-01,86.0,86.23,87.39,84.74,-0.65
1990-10-01,83.28,85.16,85.52,81.92,-3.16
1990-11-01,82.93,83.51,83.62,81.27,-0.42
1990-12-01,83.07,83.52,85.39,81.73,0.17
1991-01-01,82.0,83.37,85.22,81.91,-1.29
1991-02-01,84.08,82.18,84.23,80.34,2.54
1991-03-01,92.02,84.71,92.46,84.23,9.44
1991-04-01,91.54,91.32,94.46,89.29,-0.52
1991-05-01,93.13,91.17,93.58,90.74,1.74
1991-06-01,96.06,93.73,96.75,93.02,3.15
1991-07-01,93.49,96.07,97.32,92.89,-2.68
1991-08-01,93.49,93.62,96.56,91.85,0.0
1991-09-01,89.9,93.3,93.77,89.65,-3.84
1991-10-01,89.93,90.01,92.03,89.39,0.03
1991-11-01,88.19,89.72,89.76,86.26,-1.93
1991-12-01,83.52,87.54,87.87,83.21,-5.3
1992-01-01,87.49,83.52,88.68,82.8,4.75
1992-02-01,88.99,87.14,89.92,85.23,1.71
1992-03-01,89.65,89.1,91.53,88.7,0.74
1992-04-01,89.62,89.62,90.78,88.43,-0.03
1992-05-01,87.22,89.53,89.6,86.58,-2.68
1992-06-01,83.72,87.26,87.81,83.24,-4.01
1992-07-01,81.91,83.72,83.97,80.58,-2.16
1992-08-01,78.88,81.94,82.57,78.67,-3.7
1992-09-01,81.1,78.84,85.96,78.19,2.81
1992-10-01,87.63,81.05,87.93,81.05,8.05
1992-11-01,90.84,87.71,91.55,87.7,3.66
1992-12-01,92.36,90.89,92.52,88.64,1.67
1993-01-01,92.46,92.17,93.75,90.09,0.11
1993-02-01,94.05,92.47,94.86,92.42,1.72
1993-03-01,91.87,94.09,94.8,91.79,-2.32
1993-04-01,89.49,91.96,92.31,88.37,-2.59
1993-05-01,89.08,89.49,91.38,88.53,-0.46
1993-06-01,93.63,89.1,94.15,88.85,5.11
1993-07-01,95.37,93.7,95.62,92.82,1.86
1993-08-01,93.95,95.48,95.8,93.12,-1.49
1993-09-01,92.82,93.96,94.15,90.29,-1.2
1993-10-01,95.08,92.8,95.34,91.21,2.43
1993-11-01,96.21,95.19,96.37,94.41,1.19
1993-12-01,96.84,96.21,96.85,94.67,0.65
1994-01-01,95.59,96.76,97.09,95.15,-1.29
1994-02-01,94.55,95.46,97.1,94.34,-1.09
1994-03-01,93.06,94.61,95.42,92.86,-1.58
1994-04-01,92.12,93.38,95.33,91.71,-1.01
1994-05-01,92.52,92.57,93.75,91.51,0.43
1994-06-01,89.62,92.47,93.58,89.09,-3.13
1994-07-01,89.87,89.55,90.56,86.65,0.28
1994-08-01,89.67,89.39,90.31,87.41,-0.22
1994-09-01,87.88,89.71,89.72,87.14,-2.0
1994-10-01,85.69,87.72,88.37,84.91,-2.49
1994-11-01,89.13,85.54,89.27,85.2,4.01
1994-12-01,88.73,89.02,90.18,88.46,-0.45
1995-01-01,87.99,88.84,89.63,86.95,-0.83
1995-02-01,85.93,87.93,88.49,85.69,-2.34
1995-03-01,81.9,85.87,86.1,81.24,-4.69
1995-04-01,81.8,81.87,83.03,80.05,-0.12
1995-05-01,82.57,81.87,84.84,80.55,0.94
1995-06-01,81.58,82.71,83.58,81.35,-1.2
1995-07-01,81.57,81.55,82.8,81.22,-0.01
1995-08-01,85.57,81.67,86.63,81.03,4.9
1995-09-01,84.29,85.58,87.47,83.5,-1.5
