refYear,reporterCode,reporterISO,reporterDesc,classificationCode,cmdCode,cmdDesc,qtyUnitCode,qtyUnitAbbr,qty,altQtyUnitCode,altQtyUnitAbbr,altQty,netWgt,grossWgt,cifvalue,fobvalue,primaryValue,legacyEstimationFlag
2024,686,SEN,Senegal,H6,2709,Crude petroleum oil,8,kg,1427872720.0,8,kg,1427872720.0,1427872720.0,0.0,21881.578,763878308.793,763878308.793,0
2024,688,SRB,Serbia,H6,2709,Crude petroleum oil,8,kg,6.0,8,kg,6.0,6.0,0.0,21881.578,8.0,8.0,0
2024,702,SGP,Singapore,H6,2709,Crude petroleum oil,8,kg,3800296.175,-1,kg,0.0,3800296.175,0.0,21881.578,2159874.273,2159874.273,6
2024,703,SVK,Slovakia,H6,2709,Crude petroleum oil,8,kg,1227160.0,8,kg,1227160.0,1227160.0,0.0,21881.578,717014.277,717014.277,0
2024,705,SVN,Slovenia,H6,2709,Crude petroleum oil,8,kg,40.9,8,kg,40.9,40.9,0.0,21881.578,203.895,203.895,0
2024,710,ZAF,South Africa,H6,2709,Crude petroleum oil,8,kg,92738173.157,-1,kg,0.0,92738173.157,0.0,21881.578,51467094.764,51467094.764,6
2024,724,ESP,Spain,H6,2709,Crude petroleum oil,-1,,0.0,-1,kg,0.0,105219000.0,0.0,21881.578,1884603895.643,1884603895.643,0
2024,752,SWE,Sweden,H6,2709,Crude petroleum oil,8,kg,40975.61,-1,kg,0.0,40975.61,0.0,21881.578,190771.116,190771.116,6
2024,757,CHE,Switzerland,H6,2709,Crude petroleum oil,8,kg,165.0,8,kg,165.0,165.0,0.0,21881.578,1966.061,1966.061,0
2024,764,THA,Thailand,H6,2709,Crude petroleum oil,8,kg,992530784.746,-1,kg,0.0,992530784.746,0.0,21881.578,582521347.29,582521347.29,6
2024,780,TTO,Trinidad and Tobago,H4,2709,Crude petroleum oil,8,kg,2766349534.118,-1,kg,0.0,2766349534.118,0.0,21881.578,1616071557.072,1616071557.072,6
2024,800,UGA,Uganda,H6,2709,Crude petroleum oil,8,kg,2973.0,8,kg,2973.0,2973.0,0.0,21881.578,1088.37,1088.37,0
2024,818,EGY,Egypt,H6,2709,Crude petroleum oil,8,kg,2538653939.452,-1,kg,0.0,2538653939.452,0.0,21881.578,1408882000.0,1408882000.0,6
2024,826,GBR,United Kingdom,H6,2709,Crude petroleum oil,-1,,0.0,-1,kg,0.0,105219000.0,0.0,21881.578,16055724448.938,16055724448.938,0
2024,834,TZA,United Rep. of Tanzania,H6,2709,Crude petroleum oil,8,kg,3832500.0,8,kg,3832500.0,3832500.0,0.0,21881.578,2351989.668,2351989.668,0
2024,842,USA,USA,H6,2709,Crude petroleum oil,8,kg,238788419322.0,19,BBL,1501813958.0,238788419322.0,0.0,21881.578,118499361483.0,118499361483.0,0
2024,854,BFA,Burkina Faso,H6,2709,Crude petroleum oil,8,kg,240.0,8,kg,240.0,240.0,0.0,21881.578,50.011,50.011,0
2024,882,WSM,Samoa,H5,2709,Crude petroleum oil,8,kg,10.0,7,l,10.0,10.0,0.0,21881.578,182.262,182.262,0
2024,894,ZMB,Zambia,H6,2709,Crude petroleum oil,8,kg,11.0,8,kg,11.0,11.0,0.0,21881.578,14.582,14.582,0
